466	12	5	4.6
669	113	5	24.5
124	390	34	322.41
101	224	11	12.69
145	3868	3	31.63
133	1906	4	33.57
1273	14	5	12.36
695	101	8	28.19
2140	14	5	18.52
102	3893	4	29.27
101	2980	3	15.08
2300	110	3	19.61
313	164	4	22.69
313	14	10	7.66
180	389	4	27.23
105	1124	6	34.37
433	12	5	4.22
145	117	51	224.95
101	1557	6	30.16
262	146	3	10.39
234	121	3	5.61
101	1505	3	9.24
114	606	5	24.09
3610	305	3	42.29
442	113	3	9.14
141	116	15	28.18
118	150	21	61.71
104	1650	10	83.06
391	178	6	46.01
166	105	12	19.93
451	101	4	5.21
13	127	9	18.2
161	645	3	20.39
120	633	3	12.59
102	1343	4	14.41
143	666	4	25.72
101	435	5	8.15
838	117	4	21.28
110	240	5	10.23
249	138	19	127.54
221	101	11	12.4
12	129	543	3159.6
161	143	5	12.06
868	101	4	10.19
214	138	6	22.86
105	5198	3	27.18
485	14	10	18
1573	9	3	23
3466	14	3	10.76
164	286	8	55.27
2138	168	4	42.38
149	102	99	316.42
104	1293	5	24.45
241	107	7	17.9
139	165	5	12.03
109	436	4	13.39
267	12	8	3.94
2100	113	5	39.12
2620	111	3	21.19
280	122	4	12.67
1235	145	6	54.37
520	799	3	34.34
102	659	9	33.21
106	1514	3	15.89
786	14	6	10.59
12	374	6	4.68
1925	207	3	32.35
153	178	5	16.88
124	2183	3	23.43
294	12	9	7.11
101	841	9	38.18
101	781	4	9.05
143	396	3	14.11
16	600	3	13.03
1370	14	3	4.8
417	14	6	4.24
140	180	3	5.95
121	1335	3	18.49
137	258	6	26.16
113	123	15	13.95
158	107	6	4.12
122	168	5	8.85
169	113	13	35.13
122	125	9	8.02
2225	119	5	43.52
112	698	5	24.98
101	1722	3	10.57
136	601	6	40.54
102	918	5	15.99
102	866	5	15.42
156	112	7	6.92
126	122	8	6.55
1782	110	4	26.53
101	2230	3	12.36
116	358	7	30.75
203	106	4	4.21
340	107	4	10.19
1540	592	3	40.19
5633	12	3	18.56
220	929	6	64.39
162	977	17	224.43
102	1763	3	10.81
668	111	3	11.21
101	1095	6	23.7
120	280	3	6.7
107	601	5	22.11
2493	12	3	9.37
106	2359	3	19.15
146	111	8	5.97
701	119	3	13.27
12	2512	3	10.52
102	1326	3	8.92
154	279	3	12.47
813	369	3	31.56
119	528	5	24.77
1762	115	3	18.68
102	557	4	7.07
936	16	3	15.77
102	355	8	15.64
1196	14	3	3.98
152	239	4	16.43
108	590	3	10.2
459	454	3	29.84
118	154	67	367.85
118	111	15	6.8
876	154	8	74.2
1487	12	5	16.34
863	109	4	19.3
101	1604	5	22.58
163	126	6	12.94
128	1	3	5.38
1552	115	3	17.93
185	362	3	18.21
473	103	3	4.16
152	342	6	36.45
102	1371	3	8.92
164	1661	3	27.41
292	116	4	10.71
107	2704	5	42.62
102	434	6	12.14
101	1342	4	14.09
136	214	3	7.26
244	116	4	8.6
225	227	3	16.18
103	782	3	6.72
205	110	6	11.09
1911	14	5	16.86
266	170	3	14.94
102	2664	4	21.73
759	119	3	13.81
159	244	7	40.65
1053	975	3	40.19
12	4563	4	24.75
239	150	3	10.39
171	153	3	7.17
394	455	4	40.66
4787	1285	3	57.42
2438	112	3	20.05
616	207	6	57.42
101	318	8	12.48
249	1004	3	29.34
125	643	3	14.63
138	754	4	25.98
106	773	7	39.58
