506	144	7	12.63
466	12	27	9.6
208	57	13	7.82
226	481	3	7.06
124	390	36	152.48
125	809	7	13.85
1116	186	3	9.79
275	452	3	8.78
414	625	3	14.41
133	2057	4	13.25
298	1078	3	15.05
145	3868	3	15.07
110	1004	6	6.95
455	3924	4	45.24
2168	185	4	21.55
167	192	10	9.11
133	1906	5	17.97
16	209	24	15.63
755	173	4	11.92
150	171	15	8.93
1874	135	3	7.23
45	870	4	10.21
9	1482	4	11.61
140	2115	5	21.27
1419	683	3	23.47
128	5865	3	17.3
102	3893	4	8.68
227	2633	3	18.89
101	2980	5	10.8
2300	110	4	8.26
2356	126	3	7.7
203	909	4	16.77
1329	149	3	7.89
159	1151	5	21.47
313	164	6	9.78
1379	112	5	7.34
4120	105	4	14.59
174	157	12	7.04
12	3451	5	7.35
113	2494	5	14.09
137	2395	3	9.32
207	492	5	17.33
129	2228	3	8.31
130	2090	3	7.52
765	124	6	9.82
1215	126	4	7.43
114	4377	3	8.99
4423	106	3	8.3
101	3690	4	8.64
384	122	10	9.54
105	1124	8	10.93
1538	101	9	13.77
5461	105	3	10.94
230	373	4	9.63
159	383	5	7.95
346	358	3	8.96
136	2871	3	9.93
106	2026	5	11.11
539	345	4	18.48
363	222	5	13.1
706	2853	3	28.28
4086	121	3	10.94
433	12	28	9.16
104	5427	3	8.95
3290	885	5	64.11
145	117	76	42.26
186	737	3	7.27
3854	113	3	8.93
102	251	45	8.99
126	2238	3	7.7
101	1557	8	8.93
300	522	3	10.73
105	4124	3	6.8
102	199	69	13.37
808	330	3	14.36
251	465	3	8.01
12	1911	8	6.79
692	190	3	7.18
261	117	17	8.42
427	193	4	8.44
539	165	4	8.21
185	274	6	8.97
328	238	4	8.39
157	233	10	11.21
3610	305	3	25.5
272	284	4	8.87
5852	104	3	8.95
300	186	5	7.13
116	3452	4	14.08
260	955	3	12.41
207	14	118	8.41
118	150	73	49.1
104	1650	10	29.85
110	2081	4	6.98
588	106	29	121.72
155	355	9	17.29
159	338	7	12.16
391	229	4	9.81
104	1092	11	17.47
4505	718	4	49.34
113	5620	3	13.19
150	545	5	8.32
888	126	9	25.31
1068	162	3	8.26
502	213	6	21.95
146	150	24	7.4
391	178	7	18.64
168	736	3	7.15
796	136	7	17.35
3904	112	3	8.93
1083	185	3	9.76
5983	103	3	7.6
105	176	51	15.95
559	106	13	17.82
451	101	21	7.22
1371	101	10	12.45
5630	105	3	10.94
5567	117	3	14.43
12	783	17	7.95
1655	137	3	6.94
2866	119	3	6.98
254	21	39	144.05
