159	4094	32
1638	5091	5
109	862	1
121	4625	2
2349	7099	6
27114	7236	3
140	8457	15
1506	5481	5
104	4523	9
102	8011	2
108	5852	7
136	1653	0
39	9873	17
10043	4366	7
112	472	8
127	9520	4
2481	4138	5
22177	37	2
330	9778	2
15187	2248	3
14	5293	24
432	7567	14
1403	1116	11
14	778	14
513	3645	2
112	3958	25
750	7391	1
2893	4250	9
59	1135	10
16	1813	18
14	3362	9
20434	4837	27
22456	3412	1
125	9245	20
123	276	16
113	4855	6
130	7236	14
114	3040	0
152	5941	16
1989	3313	1
1391	443	18
28281	8663	0
3226	7934	3
12	6411	9
109	9788	16
1936	7186	8
1520	3573	10
4235	7308	6
103	7106	14
101	9128	5
374	9731	1
121	6583	5
104	7619	12
9640	2004	17
5480	2699	1
1934	3577	1
201	8148	6
319	1678	8
154	7730	2
4048	3001	2
25886	32	13
101	1612	2
105	9860	8
104	5446	3
228	48	1
155	6195	0
7713	7602	15
1001	2830	16
12	3757	11
104	1549	11
102	4672	13
26244	1259	15
638	4501	13
109	9466	4
102	972	5
342	5703	3
114	3241	0
137	4627	14
31429	440	7
2839	7607	17
21048	5950	8
790	368	9
4088	7234	4
785	726	16
1529	4999	8
18341	3137	3
3974	809	1
197	7938	11
14	4962	14
25474	9356	7
780	4153	13
130	9390	8
102	1868	1
101	343	33
21	6320	10
12	1029	8
29395	1756	3
248	6792	9
26967	794	12
1319	9969	17
6563	6469	2
35269	1362	3
8707	4391	5
12	6850	13
6939	6131	1
2	8128	8
102	2530	16
12	6951	17
9225	6229	33
104	3526	2
14	3407	7
122	5406	4
14	6925	13
6	3190	4
2121	2692	10
161	7137	5
10590	8942	1
392	491	17
106	8499	22
293	5508	10
28517	4347	7
2	100	7
111	3889	11
12	8998	15
2	4109	19
10922	8019	4
14	8525	5
172	624	21
120	7147	9
22575	7981	5
159	5511	24
463	8967	0
111	122	6
422	6974	8
11822	6932	12
186	5943	0
201	4661	5
20543	4098	8
14	2119	17
30160	3080	6
257	2492	6
25048	7663	4
145	9836	8
112	528	24
1055	2565	11
27441	9779	19
9476	7529	7
27212	6799	9
4117	4672	3
107	6609	12
14	9858	19
392	7880	28
1557	1715	13
16764	5030	4
1804	7197	6
7922	6890	0
4967	4642	21
127	2684	0
4402	5263	9
6516	9401	15
904	2215	12
127	2235	0
8	2397	4
113	7163	15
125	4121	1
14	4716	10
24263	1473	2
10506	248	7
147	1166	1
124	3770	2
23040	2217	8
2545	4467	3
118	9576	10
129	7396	5
34572	723	20
169	1203	1
12	1699	7
251	9092	1
108	1272	4
116	6504	9
120	9411	12
6	8028	3
3455	9528	3
14	4975	27
2915	4124	11
5987	9104	7
5911	4479	2
2	2852	13
19723	1606	18
3513	95	13
331	377	2
102	5381	12
176	3777	7
3656	6901	6
116	7087	9
905	9768	9
141	9126	8
4796	2736	0
453	9787	2
31971	7683	19
203	5141	21
122	9597	12
102	4463	4
32307	382	22
350	4953	1
9	1528	4
154	4917	12
532	3538	7
105	201	16
271	5370	15
14	6344	8
143	4623	9
190	213	2
108	2420	9
111	1874	9
162	2088	6
1257	2375	9
21	60	10
1517	5175	19
378	1735	10
14	448	27
16	8536	10
4862	5012	2
8465	6287	7
609	218	4
1664	3602	4
26181	340	12
149	7839	9
865	7030	22
137	7223	8
429	9377	6
272	9427	0
6778	1238	0
14398	1267	3
8155	4165	14
34073	493	15
7293	6569	19
138	7801	13
384	1298	0
28182	8908	0
9272	5855	10
15442	7938	8
115	6787	13
14502	2714	31
10992	3488	8
142	196	15
267	8968	4
31274	3073	2
36009	6390	10
10817	3769	4
101	8300	20
1025	9241	2
1316	1859	33
143	3841	8
101	1993	5
106	5749	4
103	7725	1
3808	4306	6
2	4231	4
5035	5820	6
104	2464	11
137	9885	12
117	7969	10
28273	8265	6
1704	1492	13
59	5506	13
1598	6119	5
5390	5229	8
280	3739	6
106	1117	6
34395	6529	6
301	2335	10
907	6174	7
12	3212	6
57	2421	30
171	8819	1
137	6140	1
123	599	3
149	7220	19
14901	5297	15
7108	7330	27
413	4847	2
111	1629	25
102	5614	20
2535	3202	2
155	6046	0
463	8971	1
108	5821	8
22568	1621	8
110	950	11
175	4460	0
158	2462	26
6608	4429	3
3813	863	5
32103	8354	24
2424	7241	17
104	3817	11
102	3302	7
102	4485	8
28599	8328	21
17602	9545	19
16	5104	3
186	5947	1
106	341	16
14	7689	26
525	221	0
359	716	7
104	418	6
102	3751	17
406	3672	12
8682	396	4
201	17	6
14	9870	18
105	9250	7
660	7954	14
9541	9782	15
101	1992	17
332	8981	1
14	8042	16
229	9210	17
6108	5774	13
14	3814	24
3212	9194	4
33817	6638	2
143	6311	10
198	1239	4
1079	9937	14
123	9360	12
22336	5807	7
1278	7058	13
104	4876	18
110	724	21
14	1926	11
16	187	11
12	391	9
936	4187	4
117	8588	8
8591	4488	8
22824	2565	1
120	4200	9
404	8480	35
30984	8650	13
7502	352	13
288	9699	23
113	5269	5
35889	6054	23
26828	7470	2
14	9134	22
293	6601	8
59	8231	12
3133	1171	6
184	5246	1
596	3244	1
164	7875	7
20515	7161	3
104	8138	19
119	2721	2
2658	6648	8
12	1057	27
8192	971	20
1128	9733	2
119	9479	10
2278	9175	1
113	6425	8
117	2665	14
253	8654	17
114	9806	3
30912	8108	14
243	8242	0
101	6560	4
14	231	25
484	4550	14
194	3136	3
9727	7519	21
6082	8710	9
101	5867	9
111	95	1
148	9086	3
151	5620	3
12	297	13
9843	8288	7
23069	7478	0
425	6013	13
14	7086	28
6	4179	6
108	4442	12
141	783	5
106	9596	25
10594	9504	11
14	4458	5
1456	2722	21
256	1874	2
920	6844	8
565	4979	9
34531	6590	20
383	7284	7
12	4836	19
1017	6209	7
111	5561	1
2125	8034	2
149	7672	9
101	8387	4
24811	5174	24
5688	455	32
106	6423	15
747	8963	8
103	3042	7
15733	8521	4
12315	2807	7
126	2746	3
29343	341	13
536	9855	0
14	3790	10
4646	5265	11
35963	2806	6
5746	7923	4
116	2499	3
1518	7088	7
113	4379	5
24579	5202	9
144	4802	4
10719	7168	4
17557	4584	6
582	4601	8
26022	2585	24
108	6230	5
126	1727	8
1644	5374	2
750	698	1
13	9565	1
12	5446	11
3625	3261	29
29073	5623	6
5006	2214	8
14	1860	21
312	914	4
116	2701	5
101	5410	13
28104	8648	3
4266	2651	19
33798	7769	1
3778	5831	2
1020	8958	5
3331	2549	2
31244	875	22
1889	1163	16
112	6259	10
643	2745	18
118	5728	3
296	9468	1
108	2233	7
14	936	11
2064	3953	18
1749	3457	3
101	6922	10
5536	7787	14
12	6017	11
104	6696	9
3669	7030	6
2244	3717	14
273	2074	20
14	2760	24
170	4511	3
617	384	14
981	3950	3
211	1550	4
104	5474	16
27368	4154	17
128	9961	13
12	9831	4
14426	2064	0
102	3969	7
102	2127	5
20130	4244	18
14	13	21
118	5102	3
2795	9349	9
147	328	8
103	5868	6
177	6272	23
141	8034	14
210	420	0
103	1447	14
113	6964	4
117	8974	20
12	8067	6
2347	6709	7
107	1310	2
12	1326	11
107	2545	5
349	7136	14
14	8453	12
3387	9304	13
215	3759	5
12	3499	4
12	2661	6
32628	2762	6
27150	4564	20
20185	460	14
355	7992	4
5326	818	12
10089	1156	1
27988	6271	20
103	3524	12
105	1258	5
3376	3432	10
501	6149	14
12	9096	11
30561	556	8
588	4875	8
12	6315	9
236	4008	0
4755	2978	1
676	4662	21
1412	429	13
116	5448	5
589	7146	1
161	4206	4
112	2905	13
106	6265	16
291	8750	7
26533	6522	3
2807	9932	9
136	2005	0
160	6784	1
125	2138	10
1149	5268	0
4058	8483	0
4250	5054	10
59	8520	7
126	4473	17
9553	3607	5
168	5880	2
103	1004	11
2189	3279	9
454	5277	4
12	4841	6
2934	538	10
3017	883	12
102	44	7
124	8401	4
161	8584	11
1856	3850	3
13715	2410	3
963	6267	2
9144	4726	8
8622	7079	2
31652	4606	5
3726	5930	8
16652	2999	6
114	3337	0
111	4154	20
217	2831	4
8149	5915	15
1422	7024	20
13741	6707	1
5973	6500	23
3269	9124	9
2818	8638	7
19766	3734	13
157	6582	15
144	9313	10
107	6875	2
707	9408	10
101	902	10
16377	4748	9
2036	8555	0
12	2243	9
1024	947	8
23594	4466	1
15096	8096	21
11104	6272	9
8341	3767	11
35967	3004	2
110	1690	14
6729	908	2
109	1785	7
118	7214	13
2242	9293	16
101	9864	1
14	8100	15
453	2140	5
2162	1618	3
1753	6577	4
147	8269	4
381	384	5
4380	8944	18
14	9926	27
12341	297	2
9232	3213	6
4641	5290	12
105	2315	6
30343	7258	22
101	6180	23
10327	5425	16
14	3915	13
35759	2081	12
163	2848	14
25308	2614	1
108	7954	16
8202	6613	15
31477	4609	14
2184	3400	8
404	9145	1
18990	9582	3
33661	2860	17
734	8158	8
2332	9013	7
1309	5800	11
118	7913	13
112	7189	3
1756	8766	12
2904	4783	3
3089	7081	15
253	7620	8
419	6728	5
251	4900	3
247	9646	3
151	2161	1
20877	8394	19
30408	4384	6
31137	2403	23
123	8535	17
218	5199	0
1628	1845	14
1635	8812	17
101	4547	6
127	2331	0
4208	7412	15
14	484	8
33783	1174	24
14	3339	15
149	9139	6
15273	3249	8
5620	9240	8
31117	3366	3
207	3620	19
107	27	1
102	9415	16
704	7745	6
2495	9675	13
1194	3962	20
152	3958	27
2	5730	5
277	183	1
186	5783	0
102	1487	9
17716	9058	12
281	6706	3
103	157	32
108	4411	3
105	9614	6
14	6698	15
116	1930	11
103	9335	12
122	4097	2
3534	2436	13
14	660	24
203	8332	7
11660	9481	25
22428	2707	17
103	3800	6
17753	9135	5
3179	1591	17
327	6178	1
6190	6579	3
584	7233	9
116	6065	19
30459	5466	6
110	940	14
6238	5874	16
3427	200	5
59	9015	7
197	7481	3
113	6350	3
487	7473	2
422	389	1
107	298	7
12	7095	3
622	4614	27
10609	6928	12
501	883	9
3916	6825	4
14	6627	36
21116	6690	0
27271	3779	1
102	9940	10
760	828	6
10769	7212	13
110	9934	31
101	6997	19
486	341	1
14	3837	9
13016	9321	2
14	530	14
634	6485	6
172	2661	8
927	4438	11
33347	6994	11
981	3441	24
169	8706	17
941	5917	7
101	953	8
112	3530	19
184	9743	7
136	1901	0
168	2183	7
322	5631	3
9589	2329	12
166	412	7
15448	920	5
5240	7636	0
197	2136	1
4288	7414	7
85	5931	8
14	3836	29
194	7992	8
12	8211	3
27051	2760	17
111	5801	10
6739	6703	24
34245	5200	1
114	3505	0
164	55	1
14	8320	36
125	5504	17
112	5990	10
8836	894	22
1523	4722	11
106	7915	26
241	6408	2
30215	2766	1
103	8346	6
105	3601	30
13524	5921	5
4015	2489	17
1458	7565	0
551	9024	1
12	2462	21
9768	6500	31
102	2013	7
209	3775	7
102	9811	8
24667	7687	3
14	1791	4
14	7250	9
122	8771	7
14	3061	31
1267	7857	3
668	5590	7
12	254	6
606	2662	5
17836	3598	1
8704	5377	1
133	2713	5
278	5710	12
20209	2919	4
516	3417	1
10225	545	7
122	4040	3
5328	1861	6
104	338	15
111	7169	9
1794	7953	11
3050	5810	1
33416	2368	4
12519	4237	1
871	1842	10
14	6455	17
12	2193	5
674	1117	0
12	8766	15
4291	1939	5
12	5941	10
5961	5194	18
12	8441	15
102	6291	4
269	723	0
34260	1800	1
143	1680	6
131	1116	1
1368	6878	9
14	2969	5
14	8502	15
715	2055	0
12707	6142	5
306	1685	19
377	9500	17
20124	1591	2
5769	3924	21
2540	3543	10
9525	7977	3
636	5186	7
8283	3110	12
28919	623	6
113	7817	7
36518	108	7
1427	7329	7
112	2020	6
303	1974	4
190	1058	13
6685	6089	3
1678	839	7
14	1682	10
109	2601	2
130	5022	5
21929	5283	11
127	2467	0
176	7284	2
4799	4753	7
2337	2264	4
14	5471	20
118	1724	2
731	6998	8
13775	8638	11
101	5052	6
229	6895	14
328	3297	13
126	4617	1
6802	7619	5
9	9123	24
1788	270	4
25172	8542	6
12008	5807	3
19600	4926	7
23554	4907	10
510	4934	14
12	596	8
11520	113	0
276	1255	2
34754	5878	7
6961	3875	8
26908	4301	9
265	80	0
108	8899	3
118	7572	8
17014	5249	0
168	365	3
110	8586	10
261	9317	6
282	2253	9
105	9844	1
14	5439	15
102	9169	9
5924	8983	2
104	9744	7
9138	1554	24
102	6386	11
7632	9754	8
133	3157	2
115	9301	5
220	9756	6
14	542	15
59	9778	4
4277	2464	10
26872	3905	9
173	6698	1
113	1894	13
132	445	9
4567	6001	15
103	1842	2
13565	5592	1
418	5341	11
103	3091	7
14	7484	22
110	5249	15
548	6787	10
243	8330	0
1660	9130	11
144	6776	9
1846	325	8
3121	1968	22
3134	738	8
101	2865	18
103	3667	5
3378	506	20
101	6071	1
1338	3376	30
8	6347	9
128	8337	11
2481	8408	11
12	9147	8
3087	9905	4
815	3192	13
534	4229	12
2471	3588	4
1854	1680	11
466	5840	11
748	1518	3
14846	672	3
14	7384	30
105	4763	12
5929	4679	18
948	9518	8
104	5781	2
104	6778	5
1	7349	12
4289	5681	12
28610	191	12
101	3193	6
8774	7687	18
16	5094	7
14411	9996	7
181	4211	15
151	3714	4
3862	2218	4
25054	1472	4
30290	2857	16
2524	1563	5
268	3484	16
2616	5928	6
25185	9318	16
36233	2361	9
182	3486	10
622	9517	7
256	8042	3
1585	6485	0
251	2142	5
575	1108	10
101	9139	20
7112	5241	17
131	9075	7
14	3293	16
743	1111	12
175	4212	0
24294	202	10
1027	9174	13
2	1726	4
130	8186	1
20007	7	28
14	4634	21
179	794	7
9297	4608	16
106	7693	23
818	7154	8
14	8506	14
14889	6446	5
140	157	5
25484	8669	14
23966	7659	0
36483	2971	26
14	4095	12
9	8909	7
172	9734	5
8988	7799	4
20232	638	2
35817	3413	2
6821	570	4
102	6878	19
180	2712	4
918	5448	10
12665	7343	1
190	8814	1
199	613	0
290	62	9
2004	4553	32
3152	4612	13
115	8630	11
216	4220	10
2217	9857	5
161	9110	4
226	6635	15
102	7441	5
7880	3152	9
1330	4423	0
45	8480	4
102	6879	7
13416	67	3
187	395	4
102	8150	5
162	4982	19
1717	4526	23
788	2691	5
2146	2052	5
20360	2616	7
110	9455	18
363	7253	7
378	4919	14
6305	578	5
12	6389	4
139	6825	11
616	2234	13
16	868	11
914	4200	19
4637	346	0
14	6367	24
15299	3403	19
8236	2277	4
12	2229	22
12	5590	25
5434	8239	0
2444	1119	24
422	3585	7
5814	6343	9
686	4180	7
2	1239	0
2	9074	17
4960	5899	9
29868	1198	17
14	6839	8
14	1585	27
118	912	7
101	8377	26
29355	7781	7
116	1019	18
14	9043	10
115	7319	17
12	786	5
3200	1058	3
270	6018	3
3401	9943	34
421	2759	5
14	2648	10
5602	803	6
993	9805	9
102	6482	11
139	1316	2
1042	7495	15
12	7216	28
12	9974	2
5264	1520	3
35098	4412	2
104	7005	7
3154	7373	0
1581	3839	11
16675	1017	14
127	8333	7
3701	8773	7
372	524	15
631	1947	3
2222	1441	17
117	3996	4
7627	6014	4
702	1400	7
22510	3655	7
2176	5411	1
106	9004	13
9645	8219	19
129	8246	7
16	9774	8
33842	2906	24
322	5780	2
1298	1546	4
2637	4867	6
228	1996	20
1063	718	15
117	5020	1
101	6904	6
103	8090	17
2607	7505	6
14	602	7
20883	3556	5
109	9294	5
4423	5419	13
12	7506	2
183	8777	0
2304	8354	19
1851	7444	3
109	5196	2
173	7684	1
14058	8469	4
25399	3553	1
11931	489	0
12019	4481	21
135	5286	13
20654	9276	3
2723	3121	18
14027	6201	9
15723	5071	28
27356	9714	6
156	9607	1
6594	8485	8
101	1237	15
23163	9718	23
14	8575	18
103	4574	12
612	3249	2
14	5811	23
110	5089	9
109	8398	1
2756	6717	1
12	2142	14
120	4058	2
411	4646	2
116	5169	10
14	2449	14
115	4592	4
108	8163	13
5304	4710	11
5776	8989	25
34784	5240	6
111	7597	8
13	253	33
26312	1449	16
32342	2773	1
137	4910	9
12	1654	9
1781	7032	16
4223	9481	19
420	1858	0
128	8541	17
3116	2636	13
478	1129	2
448	8210	11
126	8010	7
109	2370	3
688	7226	25
26237	7328	8
781	1734	14
22689	4526	4
12	7386	16
14	978	21
161	4951	9
149	2858	17
106	9800	1
103	1215	14
101	8630	10
14	3800	14
16	1290	9
1061	7305	7
12	8822	6
104	9470	1
167	288	3
3456	8896	11
101	6583	20
662	4556	19
163	4825	0
147	7382	27
3931	3859	2
112	9314	2
1690	4784	8
14	6649	14
14	8922	12
168	8236	7
31941	3364	5
30727	3750	14
597	3867	6
123	8960	3
442	2924	9
14	7312	23
1254	7067	23
1568	821	9
14	4223	16
24568	7937	7
136	1741	0
25190	728	11
2831	1977	29
185	5730	0
304	9917	7
3197	9437	6
104	4342	21
121	4777	2
8	845	7
104	3767	6
409	452	9
9500	2714	26
29586	6194	7
21659	3614	9
9	5413	17
103	5168	23
11375	855	0
12	8401	29
114	2904	0
2	2391	12
690	2420	14
18253	8369	16
244	6825	9
944	9904	19
32148	6120	5
106	5357	29
103	5745	1
132	3484	17
169	1729	20
12426	9090	17
155	6283	0
4233	1842	13
33010	7333	30
4837	5022	3
85	6120	2
5943	9217	1
102	3869	20
189	6988	0
2363	3054	8
14	5942	16
493	998	0
112	4203	2
85	8045	13
14	5843	12
33707	8424	11
12000	5789	4
16	4905	12
232	926	0
21	9231	6
29351	5791	5
12	9689	11
102	9872	2
271	7042	1
782	2951	6
8486	7878	21
108	4523	17
102	8954	10
114	3089	0
178	5712	5
22636	7289	0
3587	7046	4
110	6441	17
4206	3979	3
761	1080	6
12	9879	13
3239	1057	13
8	8458	12
14	9468	7
27925	1392	6
12	9430	27
242	7023	1
2186	5685	9
119	574	8
121	9480	9
12	5651	28
360	2774	1
102	1331	1
317	9792	1
515	6401	0
928	1305	3
108	4551	11
2545	1806	11
12	6725	32
2151	6057	10
12	4729	20
12	6488	17
7584	6442	0
12	2353	5
121	4448	6
2577	888	17
2784	7912	2
7322	52	6
107	8686	4
1137	232	1
153	8160	0
109	623	7
240	6122	7
14	3221	25
14	6962	15
29916	3601	7
23663	5531	10
264	1724	9
4517	1960	1
34273	1086	14
2605	233	18
125	4546	11
1888	6692	11
113	2988	13
399	5871	6
35902	9981	16
105	7668	18
8669	1579	13
118	4157	2
133	5076	10
24985	2754	2
163	4821	1
161	3354	27
303	7355	9
1821	8855	0
6711	2645	4
478	8419	26
109	8834	2
117	2967	3
101	1121	33
359	2106	9
